x,y,heading
10.252500326326578,-1.780456299829011,-0.0012817005119701423
10.269875771928541,-1.7786094764671703,-0.0012814361270111385
10.287251217530505,-1.7767626531053298,-0.0012811717420521348
10.304626663132469,-1.7749158297434893,-0.0012809073570931313
10.322002108734432,-1.7730690063816485,-0.0012806429721341276
10.339377554336396,-1.771222183019808,-0.0012803785871751238
10.35675299993836,-1.7693753596579676,-0.00128011420221612
10.374128445540324,-1.7675285362961268,-0.0012798498172571164
10.391503891142287,-1.7656817129342863,-0.0012795854322981126
10.408879336744253,-1.7638348895724456,-0.001279321047339109
10.426254782346216,-1.761988066210605,-0.0012790566623801052
10.44363022794818,-1.7601412428487646,-0.0012787922774211014
10.461005673550144,-1.7582944194869239,-0.0012785278924620977
10.478381119152107,-1.7564475961250834,-0.001278263507503094
10.495756564754071,-1.7546007727632429,-0.0012779991225440903
10.513132010356035,-1.7527539494014022,-0.0012777347375850865
10.530507455957999,-1.7509071260395617,-0.001277470352626083
10.547882901559962,-1.7490603026777212,-0.0012772059676670793
10.565258347161926,-1.7472134793158804,-0.0012769415827080756
10.58263379276389,-1.74536665595404,-0.0012766771977490718
10.600009238365853,-1.7435198325921994,-0.001276412812790068
10.617384683967817,-1.7416730092303587,-0.0012761484278310644
10.63476012956978,-1.7398261858685182,-0.0012758840428720606
10.652135575171744,-1.7379793625066775,-0.001275619657913057
10.669511020773708,-1.736132539144837,-0.0012753552729540532
10.686886466375672,-1.7342857157829965,-0.0012750908879950494
10.704261911977635,-1.7324388924211558,-0.0012748265030360457
10.7216373575796,-1.7305920690593153,-0.001274562118077042
10.739012803181563,-1.7287452456974748,-0.0012742977331180385
10.756388248783527,-1.726898422335634,-0.0012740333481590347
10.77376369438549,-1.7250515989737936,-0.001273768963200031
10.791139139987454,-1.723204775611953,-0.0012735045782410273
10.808514585589418,-1.7213579522501123,-0.0012732401932820236
10.825890031191381,-1.7195111288882718,-0.0012729758083230198
10.843265476793345,-1.7176643055264313,-0.001272711423364016
10.860640922395309,-1.7158174821645906,-0.0012724470384050124
10.878016367997274,-1.7139706588027501,-0.0012721826534460086
10.895391813599238,-1.7121238354409094,-0.001271918268487005
10.912767259201201,-1.710277012079069,-0.0012716538835280012
10.930142704803165,-1.7084301887172284,-0.0012713894985689974
10.947518150405129,-1.7065833653553877,-0.0012711251136099937
10.964893596007093,-1.7047365419935472,-0.0012708607286509902
10.982269041609056,-1.7028897186317067,-0.0012705963436919865
10.99964448721102,-1.701042895269866,-0.0012703319587329827
11.017019932812984,-1.6991960719080255,-0.001270067573773979
11.034395378414947,-1.697349248546185,-0.0012698031888149753
11.051770824016911,-1.6955024251843442,-0.0012695388038559715
11.069146269618875,-1.6936556018225037,-0.0012692744188969678
11.086521715220838,-1.691808778460663,-0.001269010033937964
11.103897160822802,-1.6899619550988225,-0.0012687456489789604
11.121272606424766,-1.688115131736982,-0.0012684812640199566
11.13864805202673,-1.6862683083751415,-0.001268216879060953
11.156023497628693,-1.6844214850133008,-0.0012679524941019492
11.173398943230657,-1.6825746616514603,-0.0012676881091429454
11.19077438883262,-1.6807278382896196,-0.001267423724183942
11.208149834434584,-1.678881014927779,-0.0012671593392249382
11.225525280036548,-1.6770341915659386,-0.0012668949542659345
11.242900725638512,-1.6751873682040979,-0.0012666305693069307
11.260276171240475,-1.6733405448422574,-0.001266366184347927
11.27765161684244,-1.6714937214804169,-0.0012661017993889233
11.295027062444404,-1.6696468981185761,-0.0012658374144299195
11.312402508046368,-1.6678000747567356,-0.0012655730294709158
11.329777953648332,-1.6659532513948951,-0.001265308644511912
11.347153399250296,-1.6641064280330544,-0.0012650442595529084
11.36452884485226,-1.662259604671214,-0.0012647798745939046
11.381904290454223,-1.6604127813093732,-0.001264515489634901
11.399279736056187,-1.6585659579475327,-0.0012642511046758974
11.41665518165815,-1.6567191345856922,-0.0012639867197168937
11.434030627260114,-1.6548723112238517,-0.00126372233475789
11.451406072862078,-1.653025487862011,-0.0012634579497988862
11.468781518464041,-1.6511786645001705,-0.0012631935648398825
11.486156964066005,-1.6493318411383298,-0.0012629291798808787
11.503532409667969,-1.6474850177764893,-0.001262664794921875
11.518113768926941,-1.64453125708174,-0.0012610218312480662
11.532695128185914,-1.6415774963869907,-0.0012593788675742575
11.547276487444886,-1.6386237356922415,-0.0012577359039004487
11.56185784670386,-1.6356699749974921,-0.00125609294022664
11.576439205962833,-1.632716214302743,-0.0012544499765528312
11.591020565221806,-1.6297624536079935,-0.0012528070128790224
11.605601924480778,-1.6268086929132444,-0.0012511640492052134
11.62018328373975,-1.623854932218495,-0.0012495210855314046
11.634764642998723,-1.6209011715237458,-0.0012478781218575959
11.649346002257696,-1.6179474108289964,-0.001246235158183787
11.66392736151667,-1.6149936501342472,-0.0012445921945099783
11.678508720775643,-1.6120398894394978,-0.0012429492308361695
11.693090080034615,-1.6090861287447487,-0.0012413062671623608
11.707671439293588,-1.6061323680499993,-0.001239663303488552
11.72225279855256,-1.60317860735525,-0.0012380203398147432
11.736834157811533,-1.6002248466605007,-0.0012363773761409345
11.751415517070505,-1.5972710859657515,-0.0012347344124671257
11.765996876329478,-1.5943173252710021,-0.001233091448793317
11.780578235588452,-1.591363564576253,-0.001231448485119508
11.795159594847425,-1.5884098038815035,-0.0012298055214456992
11.809740954106397,-1.5854560431867544,-0.0012281625577718904
11.82432231336537,-1.582502282492005,-0.0012265195940980816
11.838903672624342,-1.5795485217972558,-0.0012248766304242729
11.853485031883315,-1.5765947611025064,-0.001223233666750464
11.868066391142287,-1.5736410004077572,-0.0012215907030766553
11.882647750401262,-1.5706872397130078,-0.0012199477394028465
11.897229109660234,-1.5677334790182587,-0.0012183047757290378
11.911810468919207,-1.5647797183235093,-0.001216661812055229
11.926391828178179,-1.56182595762876,-0.0012150188483814202
11.940973187437152,-1.5588721969340107,-0.0012133758847076115
11.955554546696124,-1.5559184362392615,-0.0012117329210338027
11.970135905955097,-1.5529646755445121,-0.0012100899573599937
11.984717265214071,-1.550010914849763,-0.001208446993686185
11.999298624473044,-1.5470571541550135,-0.0012068040300123762
12.013879983732016,-1.5441033934602644,-0.0012051610663385674
12.028461342990989,-1.541149632765515,-0.0012035181026647586
12.043042702249961,-1.5381958720707658,-0.0012018751389909499
12.057624061508934,-1.5352421113760164,-0.001200232175317141
12.072205420767906,-1.5322883506812672,-0.0011985892116433323
12.08678678002688,-1.5293345899865178,-0.0011969462479695236
12.101368139285853,-1.5263808292917687,-0.0011953032842957148
12.115949498544826,-1.5234270685970193,-0.001193660320621906
12.130530857803798,-1.52047330790227,-0.0011920173569480972
12.14511221706277,-1.5175195472075207,-0.0011903743932742883
12.159693576321743,-1.5145657865127715,-0.0011887314296004795
12.174274935580716,-1.5116120258180221,-0.0011870884659266707
12.18885629483969,-1.508658265123273,-0.001185445502252862
12.203437654098662,-1.5057045044285235,-0.0011838025385790532
12.218019013357635,-1.5027507437337744,-0.0011821595749052444
12.232600372616607,-1.499796983039025,-0.0011805166112314356
12.24718173187558,-1.4968432223442758,-0.0011788736475576269
